"Latest: Time (s)";"Latest: Angle (degree)";"Latest: Pyro (V)";"Latest: Sample (V)"
0,0;60,82;0,053;0,022
0,5;60,95;0,028;0,024
1,0;60,30;0,079;0,027
1,5;59,84;0,076;0,021
2,0;58,99;0,068;0,028
2,5;58,21;0,107;0,023
3,0;57,42;0,116;0,015
3,5;56,70;0,065;0,023
4,0;55,85;0,139;0,013
4,5;55,07;0,122;0,015
5,0;54,22;0,140;0,015
5,5;53,43;0,215;0,021
6,0;52,58;0,310;0,015
6,5;51,53;0,288;0,012
7,0;50,94;0,337;0,023
7,5;50,23;0,369;0,013
8,0;49,44;0,454;0,015
8,5;48,92;0,476;0,023
9,0;48,66;0,475;0,017
9,5;48,13;0,532;0,024
10,0;47,81;0,524;0,023
10,5;47,28;0,589;0,027
11,0;46,95;0,590;0,029
11,5;46,76;0,654;0,031
12,0;46,50;0,669;0,031
12,5;46,24;0,703;0,024
13,0;46,24;0,750;0,035
13,5;45,97;0,724;0,037
14,0;45,65;0,720;0,029
14,5;45,45;0,766;0,035
15,0;44,60;0,805;0,039
15,5;43,82;0,922;0,072
16,0;43,03;0,888;0,132
16,5;42,24;0,969;0,183
17,0;41,46;1,062;0,272
17,5;40,35;1,144;0,372
18,0;39,56;1,173;0,493
18,5;38,84;1,200;0,658
19,0;37,93;1,138;0,866
19,5;37,14;1,077;1,053
20,0;36,36;1,060;1,222
20,5;35,57;1,082;1,316
21,0;34,72;1,150;1,382
21,5;33,94;1,149;1,424
22,0;33,09;1,284;1,479
22,5;32,37;1,410;1,518
23,0;31,52;1,597;1,578
23,5;30,80;1,770;1,613
24,0;29,95;1,939;1,626
24,5;29,16;2,156;1,664
25,0;28,31;2,299;1,681
25,5;27,53;2,422;1,674
26,0;26,74;2,586;1,675
26,5;25,63;2,772;1,615
27,0;24,84;2,819;1,507
27,5;24,06;2,792;1,366
28,0;23,21;2,867;1,210
28,5;22,42;2,878;1,017
29,0;21,64;2,723;0,819
29,5;20,92;2,696;0,648
30,0;20,00;2,665;0,545
30,5;19,22;2,564;0,753
31,0;18,37;2,072;1,217
31,5;17,39;1,393;1,855
32,0;16,54;0,559;2,475
32,5;15,75;0,125;2,448
33,0;14,90;0,060;1,866
33,5;14,44;0,038;1,303
34,0;13,40;0,024;0,817
34,5;12,55;0,027;0,435
35,0;11,70;0,011;0,243
35,5;10,91;0,038;0,150
36,0;10,13;0,011;0,177
36,5;9,34;0,040;0,244
37,0;8,69;0,043;0,239
37,5;7,97;0,078;0,176
38,0;6,92;0,031;0,096
38,5;6,20;0,096;0,066
39,0;5,42;0,078;0,081
39,5;4,83;0,010;0,085
40,0;3,72;0,071;0,104
40,5;2,93;0,138;0,154
41,0;2,34;0,103;0,194
41,5;1,36;0,165;0,252
42,0;0,51;0,172;0,349
42,5;-0,27;3,372;1,116
43,0;-1,06;5,000;3,829
43,5;-1,91;5,000;3,368
44,0;-2,63;0,994;0,604
44,5;-3,22;0,131;0,223
45,0;-4,07;0,133;0,168
45,5;-5,05;0,111;0,137
46,0;-5,90;0,098;0,111
46,5;-6,75;0,074;0,106
47,0;-7,54;0,040;0,098
47,5;-8,26;0,123;0,090
48,0;-9,11;0,037;0,114
48,5;-9,63;0,033;0,129
49,0;-10,68;0,017;0,172
49,5;-11,46;0,079;0,276
50,0;-12,31;0,021;0,459
50,5;-13,10;0,045;0,701
51,0;-13,88;0,057;0,853
51,5;-14,67;0,067;0,930
52,0;-15,52;0,083;1,054
52,5;-16,24;0,067;1,189
53,0;-17,09;0,057;1,507
53,5;-17,87;0,057;2,011
54,0;-18,72;0,106;2,469
54,5;-19,51;0,515;2,392
55,0;-20,29;1,314;1,712
55,5;-21,08;1,985;1,090
56,0;-21,93;2,300;0,634
56,5;-22,71;2,642;0,386
57,0;-23,76;3,127;0,385
57,5;-24,54;3,857;0,465
58,0;-25,39;4,457;0,531
58,5;-26,11;4,617;0,598
59,0;-26,96;4,724;0,651
59,5;-27,75;4,895;0,718
60,0;-28,60;4,753;0,781
60,5;-29,38;4,775;0,841
61,0;-30,23;4,585;0,919
61,5;-30,95;4,311;1,021
62,0;-32,07;4,062;1,154
62,5;-32,85;3,785;1,299
63,0;-33,70;3,466;1,462
63,5;-34,29;3,226;1,653
64,0;-35,27;2,794;1,989
64,5;-36,06;2,547;2,431
65,0;-36,91;2,408;2,808
65,5;-37,63;2,215;3,062
66,0;-38,48;2,051;3,230
66,5;-39,26;2,018;3,252
67,0;-40,05;2,013;3,068
67,5;-40,83;2,150;2,702
68,0;-41,68;2,208;2,335
68,5;-42,47;2,276;2,034
69,0;-43,25;2,208;1,875
69,5;-44,30;2,120;1,736
70,0;-45,15;2,089;1,560
70,5;-45,93;2,024;1,407
71,0;-46,72;1,907;1,245
71,5;-47,50;1,762;1,151
72,0;-48,35;1,697;1,165
72,5;-49,14;1,590;1,190
73,0;-49,92;1,484;1,223
73,5;-50,71;1,361;1,247
74,0;-51,56;1,223;1,248
74,5;-52,34;1,121;1,275
75,0;-53,13;0,979;1,293
75,5;-53,91;0,974;1,297
76,0;-54,76;0,869;1,313
76,5;-55,55;0,758;1,311
77,0;-56,34;0,590;1,311
77,5;-57,12;0,580;1,316
78,0;-57,97;0,510;1,299
78,5;-58,76;0,427;1,289
79,0;-59,61;0,429;1,265
79,5;-60,33;0,363;1,238
80,0;-61,18;0,374;1,221
80,5;-61,11;0,336;1,214
81,0;-61,11;0,369;1,217
81,5;-61,11;0,322;1,214
82,0;-61,11;0,346;1,215
82,5;-61,18;0,327;1,215
83,0;-61,11;0,311;1,212
83,5;-61,18;0,375;1,219
84,0;-61,11;0,354;1,216
84,5;-61,11;0,325;1,200
85,0;-61,18;0,342;1,212
