"Latest: Time (s)";"Latest: Angle (degree)";"Latest: Pyro (V)";"Latest: Sample (V)"
0,0;-61,18;0,348;1,172
0,5;-61,11;0,349;1,179
1,0;-60,91;0,339;1,189
1,5;-60,59;0,337;1,201
2,0;-60,06;0,404;1,228
2,5;-59,54;0,358;1,237
3,0;-59,28;0,375;1,236
3,5;-58,76;0,447;1,255
4,0;-58,23;0,413;1,264
4,5;-57,90;0,497;1,258
5,0;-57,38;0,545;1,267
5,5;-57,12;0,560;1,264
6,0;-56,86;0,629;1,264
6,5;-56,86;0,612;1,274
7,0;-56,60;0,648;1,265
7,5;-56,34;0,751;1,272
8,0;-56,07;0,689;1,275
8,5;-55,75;0,751;1,259
9,0;-55,03;0,805;1,264
9,5;-54,18;0,850;1,249
10,0;-53,39;0,921;1,238
10,5;-52,61;1,078;1,233
11,0;-51,82;1,211;1,210
11,5;-51,23;1,314;1,208
12,0;-50,19;1,352;1,186
12,5;-49,40;1,548;1,154
13,0;-48,75;1,652;1,118
13,5;-47,77;1,745;1,104
14,0;-47,11;1,847;1,187
14,5;-46,46;1,885;1,316
15,0;-45,67;2,042;1,470
15,5;-44,56;2,054;1,651
16,0;-43,84;2,175;1,778
16,5;-42,99;2,217;1,926
17,0;-42,21;2,181;2,195
17,5;-41,42;2,187;2,549
18,0;-40,57;2,085;2,883
18,5;-40,05;2,093;3,090
19,0;-39,00;1,998;3,129
19,5;-38,15;2,133;2,999
20,0;-37,43;2,243;2,777
20,5;-36,58;2,361;2,460
21,0;-35,86;2,549;2,009
21,5;-35,08;2,844;1,669
22,0;-34,42;3,258;1,477
22,5;-33,37;3,525;1,294
23,0;-32,59;3,767;1,149
23,5;-31,94;4,061;1,035
24,0;-31,28;4,295;0,917
24,5;-30,17;4,474;0,823
25,0;-29,38;4,641;0,770
25,5;-28,53;4,733;0,720
26,0;-27,75;4,742;0,656
26,5;-26,96;4,651;0,584
27,0;-26,18;4,480;0,540
27,5;-25,39;4,359;0,481
28,0;-24,61;3,812;0,403
28,5;-23,76;3,114;0,360
29,0;-22,97;2,575;0,394
29,5;-22,19;2,327;0,679
30,0;-21,40;2,038;1,166
30,5;-20,55;1,485;1,779
31,0;-19,77;0,698;2,335
31,5;-18,92;0,222;2,317
32,0;-18,20;0,011;1,813
32,5;-17,35;0,122;1,390
33,0;-16,82;0,078;1,132
33,5;-15,71;0,085;0,978
34,0;-14,99;0,059;0,878
34,5;-14,40;0,045;0,797
