"Latest: Time (s)";"Latest: Angle (degree)";"Latest: Pyro (V)";"Latest: Sample (V)"
0,0;-60,33;0,293;0,012
0,5;-60,33;0,314;0,011
1,0;-60,33;0,308;0,017
1,5;-60,33;0,320;0,009
2,0;-60,33;0,299;0,007
2,5;-59,80;0,317;0,017
3,0;-59,08;0,386;0,010
3,5;-58,43;0,408;0,029
4,0;-57,90;0,446;0,007
4,5;-57,12;0,488;0,007
5,0;-56,27;0,554;0,009
5,5;-55,75;0,590;0,017
6,0;-54,96;0,696;0,016
6,5;-54,44;0,762;0,016
7,0;-53,91;0,812;0,013
7,5;-53,39;0,808;0,009
8,0;-52,61;0,868;0,015
8,5;-52,28;0,935;0,011
9,0;-51,82;0,985;0,009
9,5;-51,49;0,998;0,007
10,0;-51,56;1,029;0,009
10,5;-51,23;1,037;0,007
11,0;-51,23;1,009;0,010
11,5;-50,97;1,106;0,012
12,0;-51,04;1,121;0,013
12,5;-50,71;1,137;0,009
13,0;-49,92;1,176;0,007
13,5;-48,94;1,236;0,024
14,0;-48,35;1,364;0,021
14,5;-47,50;1,463;0,018
15,0;-46,52;1,542;0,009
15,5;-45,80;1,625;0,021
16,0;-45,15;1,674;0,017
16,5;-44,36;1,762;0,010
17,0;-43,25;1,838;0,009
17,5;-42,47;1,895;0,010
18,0;-41,68;2,010;0,010
18,5;-41,09;2,105;0,009
19,0;-40,05;2,239;0,007
19,5;-39,39;2,332;0,007
20,0;-38,54;2,446;0,007
20,5;-37,63;2,537;0,013
21,0;-36,84;2,587;0,010
21,5;-36,06;2,641;0,007
22,0;-35,27;2,714;0,024
22,5;-34,42;2,890;0,010
23,0;-33,64;3,087;0,010
23,5;-32,85;3,282;0,007
24,0;-32,00;3,491;0,010
24,5;-31,28;3,576;0,029
25,0;-30,43;3,786;0,016
25,5;-29,65;3,891;0,009
26,0;-28,86;4,026;0,012
26,5;-28,01;4,042;0,015
27,0;-27,23;4,023;0,018
27,5;-26,44;3,897;0,009
28,0;-25,66;3,840;0,012
28,5;-24,81;3,637;0,007
29,0;-24,02;3,001;0,009
29,5;-23,24;2,427;0,013
30,0;-22,45;2,187;0,010
30,5;-21,60;1,869;0,009
31,0;-20,81;1,861;0,009
31,5;-20,03;1,722;0,026
32,0;-19,24;1,548;0,022
32,5;-18,39;1,374;0,026
33,0;-17,61;1,125;0,009
33,5;-16,82;0,889;0,009
34,0;-16,04;0,832;0,009
34,5;-15,19;0,813;0,009
35,0;-14,40;0,780;0,010
35,5;-13,62;0,750;0,012
36,0;-12,83;0,629;0,018
36,5;-11,98;0,357;0,013
37,0;-11,20;0,171;0,010
37,5;-10,41;0,105;0,009
38,0;-9,63;0,099;0,013
38,5;-8,84;0,070;0,012
39,0;-7,99;0,093;0,009
39,5;-7,21;0,009;0,007
40,0;-6,42;0,020;0,007
40,5;-5,57;0,059;0,012
41,0;-4,85;0,066;0,010
41,5;-4,00;0,070;0,011
42,0;-3,22;0,094;0,011
42,5;-2,37;0,706;0,007
43,0;-1,65;5,000;0,007
43,5;-0,80;5,000;0,007
44,0;-0,01;2,009;0,010
