"Latest: Time (s)";"Latest: Angle (degree)";"Latest: Pyro (V)";"Latest: Sample (V)"
0,0;60,63;0,033;0,009
0,5;60,63;0,065;0,013
1,0;60,63;0,035;0,021
1,5;60,43;0,035;0,009
2,0;59,58;0,072;0,012
2,5;58,79;0,084;0,017
3,0;57,94;0,067;0,012
3,5;57,22;0,059;0,020
4,0;56,37;0,089;0,023
4,5;55,59;0,115;0,017
5,0;54,74;0,153;0,009
5,5;53,95;0,195;0,010
6,0;52,91;0,256;0,015
6,5;52,12;0,281;0,012
7,0;51,27;0,299;0,007
7,5;50,75;0,353;0,016
8,0;49,70;0,405;0,015
8,5;49,18;0,441;0,015
9,0;48,33;0,508;0,007
9,5;47,54;0,575;0,017
10,0;46,76;0,634;0,010
10,5;45,97;0,661;0,009
11,0;45,19;0,737;0,011
11,5;44,40;0,802;0,007
12,0;43,29;0,886;0,017
12,5;42,57;0,967;0,010
13,0;41,66;1,031;0,010
13,5;40,87;1,127;0,007
14,0;40,09;1,239;0,012
14,5;39,30;1,366;0,013
15,0;38,45;1,525;0,009
15,5;37,67;1,647;0,007
16,0;36,88;1,768;0,020
16,5;36,10;1,894;0,010
17,0;35,25;2,051;0,007
17,5;34,53;2,223;0,022
18,0;33,68;2,379;0,011
18,5;32,89;2,564;0,012
19,0;32,04;2,879;0,009
19,5;31,32;3,083;0,013
20,0;30,47;3,295;0,009
20,5;29,75;3,526;0,007
21,0;29,16;3,646;0,011
21,5;28,64;3,823;0,012
22,0;27,85;3,998;0,009
22,5;27,26;4,145;0,007
23,0;26,68;4,194;0,031
23,5;25,89;4,379;0,007
24,0;25,37;4,424;0,023
24,5;24,58;4,263;0,011
25,0;23,73;4,105;0,007
25,5;23,01;3,950;0,015
26,0;22,16;3,714;0,009
26,5;21,38;3,409;0,007
27,0;20,53;3,203;0,016
27,5;19,81;2,967;0,011
28,0;18,96;2,725;0,009
28,5;18,17;2,455;0,009
29,0;17,32;2,280;0,018
29,5;16,54;2,109;0,007
30,0;15,75;1,805;0,009
30,5;14,97;1,398;0,022
31,0;14,18;1,010;0,010
31,5;13,40;0,665;0,009
32,0;12,55;0,353;0,017
32,5;11,76;0,153;0,007
33,0;10,91;0,143;0,009
33,5;10,13;0,230;0,009
34,0;9,34;0,295;0,016
34,5;8,56;0,265;0,009
35,0;7,71;0,145;0,010
35,5;6,92;0,049;0,021
36,0;6,07;0,029;0,007
36,5;5,35;0,031;0,010
37,0;4,57;0,039;0,009
37,5;3,72;0,054;0,011
38,0;2,93;0,051;0,009
38,5;2,15;0,077;0,020
39,0;1,30;0,087;0,010
39,5;0,51;0,111;0,007
40,0;-0,27;2,897;0,010
40,5;-1,06;5,000;0,009
41,0;-1,91;4,465;0,009
41,5;-2,70;0,215;0,010
42,0;-3,48;0,062;0,015
42,5;-4,26;0,040;0,009
43,0;-5,12;0,057;0,020
43,5;-5,90;0,046;0,009
44,0;-6,69;0,056;0,010
44,5;-7,47;0,039;0,009
45,0;-8,32;0,072;0,018
45,5;-9,11;0,079;0,009
46,0;-9,89;0,100;0,010
46,5;-10,68;0,150;0,009
47,0;-11,46;0,253;0,016
47,5;-12,25;0,471;0,010
48,0;-13,10;0,646;0,018
48,5;-13,88;0,702;0,010
49,0;-14,67;0,767;0,027
49,5;-15,45;0,784;0,011
50,0;-16,30;0,860;0,009
50,5;-17,09;0,989;0,009
51,0;-17,61;1,176;0,013
51,5;-18,46;1,438;0,020
52,0;-19,18;1,565;0,009
52,5;-20,03;1,696;0,012
53,0;-20,81;1,823;0,016
53,5;-21,40;1,954;0,010
54,0;-22,19;2,067;0,007
54,5;-22,97;2,390;0,013
55,0;-23,76;2,873;0,011
55,5;-24,54;3,382;0,013
56,0;-25,33;3,621;0,007
56,5;-26,18;3,728;0,017
57,0;-26,96;3,812;0,022
57,5;-27,68;3,857;0,009
58,0;-28,27;3,829;0,009
58,5;-29,06;3,751;0,034
59,0;-29,91;3,614;0,013
59,5;-30,69;3,485;0,009
60,0;-31,48;3,325;0,013
60,5;-32,26;3,155;0,015
61,0;-33,05;2,968;0,013
61,5;-33,90;2,773;0,010
62,0;-34,68;2,609;0,012
62,5;-35,53;2,518;0,012
63,0;-36,32;2,408;0,011
63,5;-36,91;2,316;0,017
64,0;-37,69;2,238;0,007
64,5;-38,74;2,176;0,009
65,0;-39,33;2,061;0,015
65,5;-40,05;1,979;0,013
66,0;-41,16;1,906;0,007
66,5;-41,94;1,816;0,018
67,0;-42,73;1,706;0,010
67,5;-43,51;1,657;0,009
68,0;-44,30;1,587;0,010
68,5;-45,15;1,508;0,013
69,0;-45,93;1,438;0,009
69,5;-46,72;1,357;0,016
70,0;-47,57;1,291;0,018
70,5;-48,35;1,219;0,009
71,0;-48,88;1,156;0,010
71,5;-49,40;1,098;0,010
72,0;-49,66;1,059;0,010
72,5;-49,99;1,039;0,026
73,0;-50,51;1,026;0,007
73,5;-50,71;0,943;0,009
74,0;-51,30;0,924;0,009
74,5;-51,56;0,905;0,009
75,0;-52,34;0,832;0,018
75,5;-53,13;0,735;0,011
76,0;-53,91;0,711;0,012
76,5;-54,70;0,653;0,009
77,0;-55,48;0,580;0,012
77,5;-56,34;0,536;0,009
78,0;-57,12;0,447;0,011
78,5;-57,90;0,382;0,010
79,0;-58,76;0,342;0,009
79,5;-59,54;0,311;0,009
80,0;-60,65;0,260;0,009
80,5;-61,44;0,252;0,009
81,0;-62,22;0,199;0,010
81,5;-62,22;0,214;0,011
82,0;-62,16;0,241;0,010
