"Latest: Time (s)";"Latest: Angle (degree)";"Latest: Pyro (V)";"Latest: Sample (V)"
0,0;-60,59;0,010;0,037
0,5;-60,65;0,009;0,031
1,0;-60,33;0,027;0,028
1,5;-60,06;0,007;0,033
2,0;-59,54;0,067;0,020
2,5;-59,02;0,116;0,033
3,0;-58,76;0,009;0,035
3,5;-58,23;0,011;0,032
4,0;-57,97;0,073;0,033
4,5;-57,51;0,071;0,039
5,0;-57,19;0,057;0,038
5,5;-57,12;0,204;0,033
6,0;-56,86;0,197;0,033
6,5;-56,60;0,167;0,029
7,0;-56,34;0,284;0,038
7,5;-56,34;0,177;0,040
8,0;-56,07;0,219;0,040
8,5;-55,55;0,324;0,042
9,0;-54,70;0,479;0,046
9,5;-53,91;0,277;0,028
10,0;-53,20;0,502;0,044
10,5;-52,34;0,700;0,043
11,0;-51,63;0,750;0,048
11,5;-51,04;0,915;0,044
12,0;-50,19;0,989;0,039
12,5;-49,47;1,150;0,048
13,0;-48,62;1,382;0,044
13,5;-47,83;1,532;0,043
14,0;-47,05;1,470;0,046
14,5;-46,20;1,785;0,061
15,0;-45,41;1,908;0,046
15,5;-44,56;2,205;0,043
16,0;-43,84;2,304;0,054
16,5;-42,99;2,504;0,043
17,0;-42,27;2,905;0,051
17,5;-41,42;3,195;0,045
18,0;-40,57;3,586;0,045
18,5;-39,85;3,978;0,062
19,0;-39,00;4,237;0,118
19,5;-38,22;4,648;0,426
20,0;-37,36;4,773;0,747
20,5;-36,58;4,850;0,971
21,0;-35,79;4,901;1,286
21,5;-35,01;4,537;1,829
22,0;-34,16;3,972;2,388
22,5;-33,37;2,940;2,822
23,0;-32,59;1,965;3,098
23,5;-31,80;0,912;3,115
24,0;-31,02;0,366;2,689
24,5;-30,17;0,131;1,540
25,0;-29,38;0,022;0,468
25,5;-28,53;0,044;0,178
26,0;-27,81;0,111;0,171
26,5;-26,96;0,137;0,150
27,0;-26,18;0,039;0,128
27,5;-25,39;0,023;0,106
28,0;-24,54;0,074;0,092
28,5;-24,02;0,011;0,082
29,0;-23,30;0,101;0,059
29,5;-22,45;0,082;0,060
30,0;-21,67;0,065;0,045
30,5;-20,88;0,094;0,046
31,0;-20,03;0,009;0,034
31,5;-19,24;0,022;0,049
32,0;-18,46;0,013;0,026
32,5;-17,61;0,035;0,027
33,0;-16,89;0,050;0,033
33,5;-16,04;0,045;0,022
34,0;-15,25;0,040;0,020
34,5;-14,40;0,015;0,023
35,0;-13,68;0,046;0,024
35,5;-12,83;0,071;0,016
36,0;-12,05;0,011;0,012
36,5;-11,20;0,076;0,012
37,0;-10,41;0,012;0,022
37,5;-9,63;0,114;0,033
38,0;-9,04;0,063;0,023
38,5;-8,32;0,012;0,033
39,0;-7,54;0,016;0,023
39,5;-6,75;0,082;0,043
40,0;-5,90;0,049;0,049
40,5;-5,12;0,067;0,050
41,0;-4,33;0,106;0,063
41,5;-3,48;0,017;0,095
42,0;-2,76;0,379;0,645
42,5;-1,84;5,000;4,249
43,0;-1,12;5,000;2,264
43,5;-0,27;4,846;0,403
44,0;0,25;0,297;0,105
44,5;1,03;0,101;0,087
45,0;1,82;0,100;0,060
45,5;2,67;0,031;0,056
46,0;3,45;0,105;0,035
46,5;4,24;0,048;0,028
47,0;5,02;0,062;0,022
47,5;5,87;0,117;0,018
48,0;6,33;0,060;0,026
48,5;7,18;0,053;0,016
49,0;7,97;0,055;0,012
49,5;8,82;0,045;0,016
50,0;9,60;0,028;0,009
50,5;10,39;0,023;0,011
51,0;11,17;0,035;0,009
51,5;12,02;0,015;0,017
52,0;12,81;0,024;0,010
52,5;13,59;0,088;0,028
53,0;14,38;0,009;0,016
53,5;15,23;0,023;0,028
54,0;16,01;0,009;0,039
54,5;16,67;0,034;0,046
55,0;17,32;0,034;0,043
55,5;18,17;0,010;0,050
56,0;18,96;0,027;0,051
56,5;19,81;0,024;0,074
57,0;20,53;0,009;0,073
57,5;21,38;0,061;0,072
58,0;22,10;0,009;0,079
58,5;22,95;0,039;0,083
59,0;23,73;0,010;0,099
59,5;24,58;0,074;0,096
60,0;25,37;0,009;0,125
60,5;26,22;0,007;0,473
61,0;26,94;0,088;1,172
61,5;27,79;0,150;1,523
62,0;28,64;0,210;1,573
62,5;29,42;0,520;1,471
63,0;30,21;1,074;1,252
63,5;31,06;1,726;0,996
64,0;31,78;1,990;0,703
64,5;32,56;2,252;0,513
65,0;33,35;2,230;0,358
65,5;34,13;2,256;0,231
66,0;34,92;2,200;0,092
66,5;35,83;2,137;0,044
67,0;36,62;1,919;0,021
67,5;37,40;1,748;0,021
68,0;38,19;1,617;0,010
68,5;39,04;1,535;0,015
69,0;39,82;1,381;0,018
69,5;40,61;1,310;0,023
70,0;41,39;1,137;0,013
70,5;42,24;1,046;0,015
71,0;42,96;1,029;0,015
71,5;43,62;0,962;0,016
72,0;44,34;0,901;0,010
72,5;45,38;0,849;0,021
73,0;46,17;0,698;0,010
73,5;47,02;0,697;0,012
74,0;47,61;0,647;0,010
74,5;48,66;0,645;0,015
75,0;49,38;0,480;0,009
75,5;50,09;0,404;0,016
76,0;51,01;0,438;0,015
76,5;51,73;0,474;0,016
77,0;52,32;0,201;0,012
77,5;53,17;0,269;0,022
78,0;53,95;0,129;0,009
78,5;54,80;0,065;0,012
79,0;55,59;0,079;0,010
79,5;56,37;0,012;0,017
80,0;57,16;0,006;0,010
80,5;57,94;0,021;0,017
81,0;58,66;0,011;0,013
81,5;59,51;0,136;0,024
82,0;60,04;0,039;0,010
