"Latest: Time (s)";"Latest: Angle (degree)";"Latest: Pyro (V)";"Latest: Sample (V)"
0,0;60,56;0,138;0,021
0,5;60,63;0,009;0,011
1,0;60,30;0,009;0,024
1,5;59,58;0,042;0,011
2,0;58,73;0,122;0,020
2,5;58,21;0,011;0,026
3,0;57,42;0,049;0,010
3,5;56,64;0,049;0,020
4,0;55,98;0,094;0,013
4,5;55,33;0,067;0,018
5,0;54,48;0,204;0,010
5,5;53,69;0,308;0,015
6,0;52,97;0,274;0,017
6,5;52,38;0,315;0,010
7,0;51,80;0,302;0,012
7,5;51,27;0,370;0,010
8,0;50,75;0,375;0,013
8,5;50,23;0,328;0,010
9,0;49,90;0,338;0,020
9,5;49,70;0,485;0,013
10,0;49,11;0,487;0,011
10,5;48,92;0,419;0,012
11,0;48,59;0,587;0,010
11,5;48,39;0,639;0,012
12,0;48,07;0,606;0,010
12,5;48,13;0,628;0,015
13,0;47,81;0,663;0,022
13,5;47,02;0,680;0,010
14,0;46,17;0,845;0,012
14,5;45,45;0,736;0,017
15,0;44,60;0,857;0,010
15,5;43,82;1,057;0,022
16,0;42,96;1,134;0,010
16,5;42,24;1,231;0,013
17,0;41,39;1,228;0,013
17,5;40,35;1,308;0,020
18,0;39,56;1,628;0,015
18,5;39,04;1,645;0,017
19,0;37,93;1,766;0,023
19,5;37,14;1,996;0,017
20,0;36,29;2,103;0,029
20,5;35,57;2,199;0,077
21,0;34,72;2,452;0,232
21,5;33,94;2,545;0,369
22,0;33,09;2,387;0,516
22,5;32,30;2,264;0,713
23,0;31,52;2,067;1,039
23,5;30,73;1,490;1,326
24,0;29,95;0,963;1,546
24,5;29,16;0,410;1,668
25,0;28,31;0,168;1,625
25,5;27,53;0,096;1,266
26,0;26,68;0,009;0,587
26,5;25,89;0,057;0,162
27,0;25,11;0,149;0,109
27,5;24,32;0,018;0,092
28,0;23,54;0,029;0,092
28,5;22,75;0,007;0,087
29,0;21,90;0,013;0,087
29,5;21,38;0,182;0,073
30,0;20,46;0,205;0,063
30,5;19,61;0,074;0,055
31,0;18,96;0,009;0,060
31,5;18,17;0,077;0,053
32,0;17,06;0,089;0,046
32,5;16,28;0,123;0,043
33,0;15,56;0,096;0,040
33,5;14,71;0,011;0,021
34,0;14,12;0,011;0,029
34,5;13,33;0,067;0,015
35,0;12,28;0,038;0,015
35,5;11,70;0,006;0,015
36,0;10,91;0,104;0,010
36,5;10,13;0,098;0,010
37,0;9,28;0,009;0,013
37,5;8,56;0,009;0,010
38,0;7,71;0,009;0,016
38,5;6,99;0,018;0,011
39,0;6,07;0,017;0,015
39,5;5,29;0,087;0,021
40,0;4,50;0,020;0,032
40,5;3,78;0,059;0,051
41,0;2,93;0,092;0,049
41,5;2,08;0,134;0,066
42,0;1,30;0,134;0,105
42,5;0,51;0,051;0,145
43,0;-0,27;5,000;1,106
43,5;-1,06;5,000;4,452
44,0;-1,91;5,000;2,469
44,5;-2,70;0,716;0,203
45,0;-3,48;0,144;0,079
45,5;-4,26;0,148;0,061
46,0;-5,12;0,048;0,042
46,5;-5,90;0,034;0,043
47,0;-6,69;0,031;0,020
47,5;-7,47;0,009;0,022
48,0;-8,32;0,138;0,024
48,5;-8,91;0,013;0,024
49,0;-9,63;0,018;0,015
49,5;-10,68;0,009;0,028
50,0;-11,46;0,083;0,018
50,5;-12,11;0,070;0,013
51,0;-12,83;0,028;0,024
51,5;-13,75;0,050;0,023
52,0;-14,40;0,065;0,016
52,5;-15,25;0,012;0,024
53,0;-16,04;0,027;0,026
53,5;-16,82;0,010;0,029
54,0;-17,61;0,040;0,031
54,5;-18,53;0,027;0,029
55,0;-19,24;0,027;0,044
55,5;-20,03;0,065;0,040
56,0;-20,88;0,020;0,048
56,5;-21,60;0,055;0,054
57,0;-22,45;0,166;0,073
57,5;-23,50;0,010;0,076
58,0;-24,28;0,009;0,112
58,5;-25,13;0,006;0,129
59,0;-25,92;0,010;0,136
59,5;-26,70;0,007;0,150
60,0;-27,49;0,071;0,183
60,5;-28,27;0,048;0,215
61,0;-29,12;0,009;0,723
61,5;-29,91;0,043;2,154
62,0;-30,76;0,204;3,038
62,5;-31,54;0,803;3,261
63,0;-32,33;1,501;3,167
63,5;-33,11;2,752;2,792
64,0;-33,96;3,799;2,284
64,5;-34,75;4,569;1,656
65,0;-35,53;4,863;1,166
65,5;-36,32;4,934;0,896
66,0;-37,17;4,807;0,625
66,5;-37,95;4,592;0,289
67,0;-38,74;4,286;0,088
67,5;-39,52;3,904;0,049
68,0;-40,31;3,475;0,045
68,5;-41,09;3,324;0,046
69,0;-41,94;3,050;0,048
69,5;-42,79;2,632;0,050
70,0;-43,58;2,513;0,045
70,5;-44,63;2,117;0,043
71,0;-45,41;1,987;0,054
71,5;-46,20;1,921;0,065
72,0;-47,05;1,767;0,048
72,5;-47,83;1,600;0,053
73,0;-48,62;1,336;0,048
73,5;-49,40;1,253;0,053
74,0;-50,06;1,066;0,039
74,5;-51,04;1,031;0,054
75,0;-51,82;0,856;0,034
75,5;-52,61;0,689;0,049
76,0;-53,39;0,446;0,043
76,5;-54,18;0,507;0,042
77,0;-55,03;0,464;0,040
77,5;-55,81;0,227;0,039
78,0;-56,60;0,306;0,039
78,5;-57,45;0,201;0,033
79,0;-58,17;0,007;0,029
79,5;-59,02;0,055;0,043
80,0;-59,87;0,034;0,023
80,5;-60,59;0,007;0,033
81,0;-60,65;0,120;0,026
81,5;-60,59;0,010;0,022
82,0;-60,65;0,011;0,037
82,5;-60,59;0,009;0,032
