Format,2.0A,
Memory Length,5000,
Trigger Level,336mV,
Source,CH1,
Label,ENAA,
Probe Ratio,1.000E+00,
Vertical Units,V,
Vertical Scale,5.000E-02,
Vertical Position,-5.600E-02,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-2.500E-04,
Horizontal Mode,Main,
Sampling Period,4.000E-08,
Firmware,V1.13,
Time,06-Dec-23 23:57:55,
Mode,Detail,
Waveform Data,,
-3.500000e-04,0.082000,
-3.499600e-04,0.082000,
-3.499200e-04,0.082000,
-3.498800e-04,0.082000,
-3.498400e-04,0.082000,
-3.498000e-04,0.082000,
-3.497600e-04,0.082000,
-3.497200e-04,0.082000,
-3.496800e-04,0.082000,
-3.496400e-04,0.082000,
-3.496000e-04,0.082000,
-3.495600e-04,0.082000,
-3.495200e-04,0.082000,
-3.494800e-04,0.082000,
-3.494400e-04,0.082000,
-3.494000e-04,0.082000,
-3.493600e-04,0.082000,
-3.493200e-04,0.082000,
-3.492800e-04,0.082000,
-3.492400e-04,0.082000,
-3.492000e-04,0.082000,
-3.491600e-04,0.082000,
-3.491200e-04,0.082000,
-3.490800e-04,0.082000,
-3.490400e-04,0.082000,
-3.490000e-04,0.082000,
-3.489600e-04,0.082000,
-3.489200e-04,0.082000,
-3.488800e-04,0.082000,
-3.488400e-04,0.082000,
-3.488000e-04,0.082000,
-3.487600e-04,0.082000,
-3.487200e-04,0.082000,
-3.486800e-04,0.082000,
-3.486400e-04,0.082000,
-3.486000e-04,0.082000,
-3.485600e-04,0.082000,
-3.485200e-04,0.082000,
-3.484800e-04,0.082000,
-3.484400e-04,0.082000,
-3.484000e-04,0.082000,
-3.483600e-04,0.082000,
-3.483200e-04,0.082000,
-3.482800e-04,0.082000,
-3.482400e-04,0.082000,
-3.482000e-04,0.082000,
-3.481600e-04,0.082000,
-3.481200e-04,0.082000,
-3.480800e-04,0.082000,
-3.480400e-04,0.082000,
-3.480000e-04,0.082000,
-3.479600e-04,0.082000,
-3.479200e-04,0.082000,
-3.478800e-04,0.082000,
-3.478400e-04,0.082000,
-3.478000e-04,0.082000,
-3.477600e-04,0.082000,
-3.477200e-04,0.082000,
-3.476800e-04,0.082000,
-3.476400e-04,0.082000,
-3.476000e-04,0.082000,
-3.475600e-04,0.082000,
-3.475200e-04,0.082000,
-3.474800e-04,0.082000,
-3.474400e-04,0.082000,
-3.474000e-04,0.082000,
-3.473600e-04,0.082000,
-3.473200e-04,0.082000,
-3.472800e-04,0.082000,
-3.472400e-04,0.082000,
-3.472000e-04,0.082000,
-3.471600e-04,0.082000,
-3.471200e-04,0.082000,
-3.470800e-04,0.082000,
-3.470400e-04,0.082000,
-3.470000e-04,0.082000,
-3.469600e-04,0.082000,
-3.469200e-04,0.082000,
-3.468800e-04,0.082000,
-3.468400e-04,0.082000,
-3.468000e-04,0.082000,
-3.467600e-04,0.082000,
-3.467200e-04,0.082000,
-3.466800e-04,0.082000,
-3.466400e-04,0.082000,
-3.466000e-04,0.082000,
-3.465600e-04,0.082000,
-3.465200e-04,0.082000,
-3.464800e-04,0.082000,
-3.464400e-04,0.082000,
-3.464000e-04,0.082000,
-3.463600e-04,0.082000,
-3.463200e-04,0.082000,
-3.462800e-04,0.082000,
-3.462400e-04,0.082000,
-3.462000e-04,0.082000,
-3.461600e-04,0.082000,
-3.461200e-04,0.082000,
-3.460800e-04,0.082000,
-3.460400e-04,0.082000,
-3.460000e-04,0.080000,
-3.459600e-04,0.082000,
-3.459200e-04,0.080000,
-3.458800e-04,0.082000,
-3.458400e-04,0.080000,
-3.458000e-04,0.082000,
-3.457600e-04,0.080000,
-3.457200e-04,0.082000,
-3.456800e-04,0.080000,
-3.456400e-04,0.080000,
-3.456000e-04,0.080000,
-3.455600e-04,0.080000,
-3.455200e-04,0.080000,
-3.454800e-04,0.080000,
-3.454400e-04,0.080000,
-3.454000e-04,0.080000,
-3.453600e-04,0.080000,
-3.453200e-04,0.080000,
-3.452800e-04,0.080000,
-3.452400e-04,0.080000,
-3.452000e-04,0.080000,
-3.451600e-04,0.080000,
-3.451200e-04,0.080000,
-3.450800e-04,0.080000,
-3.450400e-04,0.080000,
-3.450000e-04,0.080000,
-3.449600e-04,0.080000,
-3.449200e-04,0.080000,
-3.448800e-04,0.080000,
-3.448400e-04,0.082000,
-3.448000e-04,0.080000,
-3.447600e-04,0.080000,
-3.447200e-04,0.080000,
-3.446800e-04,0.080000,
