Vernier Format 2
Lab_RT.cmbl 17/11/2023 16:42:19 ,
Latest
Time	Potential 1	Potential 2	Potential 3	Potential 4	R1	R2	R3	Temp	R1/R10	R2/R20	R3/R30
t	Pot 1	Pot 2	Pot 3	Pot 4	CC	CC	CC	CC	CC	CC	CC
s	V	V	V	V	Ω	Ω	Ω	K			
0	1,32112	0,0634921	2,33578	2,99267	132,112	6,34921	2,33578	299,267	0,982742204237	1,0129562859	1,0024806867
10	1,3199	0,0634921	2,33578	2,9939	131,99	6,34921	2,33578	299,39	0,981834682219	1,0129562859	1,0024806867
20	1,3199	0,0622711	2,33578	2,9939	131,99	6,22711	2,33578	299,39	0,981834682219	0,993476388003	1,0024806867
30	1,31868	0,0622711	2,337	2,9939	131,868	6,22711	2,337	299,39	0,9809271602	0,993476388003	1,00300429185
40	1,31868	0,0622711	2,337	2,9939	131,868	6,22711	2,337	299,39	0,9809271602	0,993476388003	1,00300429185
50	1,31746	0,0622711	2,337	2,99512	131,746	6,22711	2,337	299,512	0,980019638181	0,993476388003	1,00300429185
60	1,3199	0,0622711	2,337	2,99512	131,99	6,22711	2,337	299,512	0,981834682219	0,993476388003	1,00300429185
70	1,33211	0,0647131	2,33455	2,99512	133,211	6,47131	2,33455	299,512	0,990917341109	1,03243618379	1,0019527897
80	1,34921	0,0647131	2,33211	2,9939	134,921	6,47131	2,33211	299,39	1,00363752678	1,03243618379	1,0009055794
90	1,36874	0,0634921	2,32723	2,99145	136,874	6,34921	2,32723	299,145	1,01816531778	1,0129562859	0,998811158798
100	1,3895	0,0634921	2,32112	2,98535	138,95	6,34921	2,32112	298,535	1,03360806951	1,0129562859	0,996188841202
110	1,41026	0,0634921	2,31502	2,98046	141,026	6,34921	2,31502	298,046	1,04905082123	1,0129562859	0,993570815451
120	1,43101	0,0634921	2,30769	2,97558	143,101	6,34921	2,30769	297,558	1,06448613425	1,0129562859	0,990424892704
130	1,45177	0,0634921	2,30037	2,96825	145,177	6,34921	2,30037	296,825	1,07992888598	1,0129562859	0,987283261803
140	1,47375	0,0634921	2,29182	2,95971	147,375	6,34921	2,29182	295,971	1,09627915972	1,0129562859	0,983613733906
150	1,49451	0,0622711	2,28327	2,95116	149,451	6,22711	2,28327	295,116	1,11172191145	0,993476388003	0,979944206009
160	1,51526	0,0622711	2,2735	2,94017	151,526	6,22711	2,2735	294,017	1,12715722447	0,993476388003	0,975751072961
170	1,53602	0,0622711	2,26374	2,9304	153,602	6,22711	2,26374	293,04	1,1425999762	0,993476388003	0,97156223176
180	1,55556	0,0610501	2,25275	2,91941	155,556	6,10501	2,25275	291,941	1,1571352059	0,973996490108	0,966845493562
190	1,57387	0,0610501	2,24298	2,90598	157,387	6,10501	2,24298	290,598	1,17075547489	0,973996490108	0,962652360515
200	1,59219	0,0610501	2,23077	2,89377	159,219	6,10501	2,23077	289,377	1,18438318258	0,973996490108	0,957412017167
210	1,60684	0,0610501	2,221	2,88156	160,684	6,10501	2,221	288,156	1,1952808855	0,973996490108	0,95321888412
220	1,62027	0,0598291	2,20879	2,86813	162,027	5,98291	2,20879	286,813	1,20527106641	0,954516592214	0,947978540773
230	1,63126	0,0598291	2,19658	2,8547	163,126	5,98291	2,19658	285,47	1,21344620328	0,954516592214	0,942738197425
240	1,6398	0,0598291	2,18437	2,84005	163,98	5,98291	2,18437	284,005	1,21979885741	0,954516592214	0,937497854077
250	1,64713	0,0598291	2,17216	2,8254	164,713	5,98291	2,17216	282,54	1,22525142823	0,954516592214	0,93225751073
260	1,65201	0,0586081	2,15995	2,81197	165,201	5,86081	2,15995	281,197	1,22888151631	0,93503669432	0,927017167382
270	1,65324	0,0586081	2,14652	2,79731	165,324	5,86081	2,14652	279,731	1,22979647703	0,93503669432	0,921253218884
280	1,65324	0,0573871	2,13553	2,78144	165,324	5,73871	2,13553	278,144	1,22979647703	0,915556796426	0,916536480687
290	1,65201	0,0573871	2,1221	2,76679	165,201	5,73871	2,1221	276,679	1,22888151631	0,915556796426	0,910772532189
300	1,64835	0,0561661	2,10989	2,75092	164,835	5,61661	2,10989	275,092	1,22615895025	0,896076898532	0,905532188841
310	1,64347	0,0561661	2,09646	2,73504	164,347	5,61661	2,09646	273,504	1,22252886218	0,896076898532	0,899768240343
320	1,63736	0,0561661	2,08425	2,71917	163,736	5,61661	2,08425	271,917	1,21798381338	0,896076898532	0,894527896996
330	1,63004	0,0549451	2,07204	2,70452	163,004	5,49451	2,07204	270,452	1,21253868127	0,876597000638	0,889287553648
340	1,62149	0,0549451	2,05861	2,68864	162,149	5,49451	2,05861	268,864	1,20617858843	0,876597000638	0,88352360515
350	1,61172	0,0549451	2,0464	2,67277	161,172	5,49451	2,0464	267,277	1,19891097358	0,876597000638	0,878283261803
