Filename:  C:\Users\giovanni.gravili\Desktop\XDET\live_dataAg.mca
Description:  
TimeStamp:  12/01/2023 16:25:31

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	3
31	7
32	1
33	1
34	0
35	3
36	0
37	2
38	0
39	1
40	0
41	1
42	1
43	0
44	1
45	1
46	1
47	1
48	1
49	2
50	5
51	0
52	1
53	2
54	6
55	1
56	2
57	2
58	2
59	1
60	1
61	3
62	6
63	2
64	2
65	1
66	6
67	2
68	3
69	0
70	4
71	2
72	5
73	6
74	3
75	5
76	2
77	5
78	4
79	1
80	2
81	2
82	2
83	4
84	1
85	2
86	3
87	2
88	2
89	2
90	2
91	1
92	5
93	1
94	2
95	1
96	5
97	7
98	2
99	3
100	2
101	1
102	2
103	1
104	3
105	0
106	1
107	1
108	1
109	1
110	2
111	0
112	2
113	3
114	1
115	1
116	2
117	3
118	1
119	2
120	3
121	0
122	3
123	1
124	1
125	1
126	1
127	1
128	0
129	3
130	0
131	2
132	0
133	2
134	1
135	3
136	1
137	1
138	1
139	1
140	2
141	1
142	2
143	0
144	1
145	2
146	2
147	0
148	0
149	0
150	0
151	1
152	1
153	0
154	2
155	0
156	0
157	2
158	0
159	0
160	1
161	1
162	1
163	2
164	0
165	0
166	2
167	0
168	1
169	0
170	1
171	1
172	0
173	2
174	3
175	0
176	4
177	11
178	6
179	6
180	6
181	5
182	4
183	1
184	1
185	2
186	1
187	0
188	0
189	0
190	1
191	2
192	0
193	3
194	1
195	3
196	0
197	0
198	3
199	2
200	1
201	2
202	2
203	0
204	0
205	1
206	2
207	1
208	1
209	1
210	1
211	0
212	2
213	1
214	1
215	0
216	0
217	1
218	0
219	1
220	0
221	1
222	1
223	0
224	0
225	0
226	1
227	1
228	1
229	1
230	0
231	0
232	0
233	0
234	0
235	1
236	0
237	0
238	0
239	0
240	0
241	0
242	1
243	0
244	1
245	0
246	0
247	0
248	0
249	1
250	3
251	2
252	0
253	3
254	0
255	0
256	1
257	1
258	1
259	0
260	0
261	1
262	0
263	1
264	0
265	3
266	2
267	0
268	1
269	0
270	0
271	1
272	0
273	1
274	0
275	0
276	0
277	0
278	1
279	3
280	0
281	0
282	1
283	2
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	1
296	0
297	0
298	0
299	0
300	1
301	0
302	0
303	0
304	0
305	1
306	0
307	2
308	0
309	0
310	1
311	2
312	0
313	0
314	0
315	1
316	1
317	2
318	1
319	0
320	0
321	0
322	2
323	1
324	1
325	0
326	0
327	1
328	1
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	1
337	1
338	1
339	0
340	0
341	0
342	2
343	1
344	0
345	1
346	0
347	0
348	1
349	0
350	0
351	0
352	1
353	0
354	1
355	1
356	1
357	2
358	0
359	1
360	0
361	1
362	0
363	0
364	1
365	1
366	0
367	1
368	3
369	0
370	3
371	0
372	1
373	1
374	1
375	0
376	0
377	1
378	0
379	1
380	2
381	1
382	0
383	0
384	1
385	1
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	2
394	0
395	3
396	0
397	0
398	0
399	1
400	0
401	0
402	1
403	0
404	0
405	1
406	0
407	0
408	2
409	1
410	0
411	0
412	0
413	1
414	1
415	0
416	0
417	0
418	0
419	0
420	0
421	1
422	2
423	1
424	0
425	0
426	0
427	0
428	1
429	1
430	0
431	0
432	1
433	1
434	0
435	0
436	2
437	0
438	0
439	0
440	0
441	1
442	0
443	0
444	0
445	0
446	2
447	0
448	0
449	0
450	0
451	1
452	1
453	0
454	1
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	1
465	0
466	0
467	0
468	1
469	1
470	1
471	0
472	0
473	0
474	0
475	0
476	1
477	1
478	1
479	0
480	0
481	0
482	1
483	1
484	2
485	0
486	0
487	0
488	1
489	1
490	1
491	1
492	0
493	1
494	1
495	0
496	0
497	2
498	0
499	0
500	0
501	0
502	0
503	2
504	1
505	1
506	0
507	2
508	2
509	1
510	0
511	1
512	1
513	2
