Filename:  C:\Users\giovanni.gravili\Desktop\XDET\live_data_background.source.mca
Description:  
TimeStamp:  12/01/2023 15:36:33

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	2
32	2
33	1
34	0
35	1
36	0
37	1
38	0
39	1
40	1
41	1
42	4
43	2
44	2
45	2
46	2
47	2
48	2
49	1
50	3
51	3
52	4
53	3
54	4
55	2
56	4
57	8
58	0
59	1
60	5
61	3
62	5
63	2
64	4
65	2
66	3
67	3
68	3
69	4
70	4
71	3
72	0
73	2
74	2
75	1
76	1
77	3
78	3
79	5
80	1
81	1
82	3
83	0
84	6
85	5
86	1
87	5
88	3
89	2
90	4
91	6
92	4
93	3
94	1
95	3
96	1
97	1
98	4
99	3
100	0
101	2
102	2
103	0
104	1
105	1
106	2
107	0
108	0
109	3
110	3
111	4
112	1
113	2
114	1
115	1
116	1
117	1
118	1
119	0
120	0
121	3
122	0
123	1
124	2
125	1
126	1
127	1
128	0
129	2
130	0
131	2
132	1
133	0
134	1
135	2
136	1
137	0
138	1
139	3
140	0
141	1
142	0
143	0
144	0
145	1
146	3
147	1
148	1
149	3
150	2
151	1
152	2
153	1
154	3
155	2
156	0
157	1
158	2
159	1
160	0
161	1
162	2
163	1
164	1
165	0
166	0
167	0
168	1
169	0
170	3
171	0
172	0
173	1
174	2
175	2
176	2
177	1
178	2
179	8
180	6
181	7
182	0
183	1
184	2
185	0
186	1
187	0
188	1
189	1
190	1
191	1
192	2
193	0
194	2
195	3
196	1
197	1
198	2
199	1
200	0
201	1
202	1
203	1
204	0
205	0
206	4
207	0
208	1
209	2
210	0
211	0
212	3
213	1
214	2
215	1
216	2
217	0
218	2
219	2
220	0
221	2
222	1
223	0
224	1
225	0
226	2
227	0
228	1
229	1
230	1
231	1
232	0
233	1
234	1
235	1
236	2
237	0
238	1
239	1
240	0
241	0
242	1
243	2
244	0
245	1
246	0
247	2
248	0
249	0
250	0
251	1
252	1
253	0
254	1
255	1
256	0
257	0
258	0
259	0
260	0
261	1
262	3
263	1
264	1
265	0
266	1
267	1
268	3
269	0
270	2
271	1
272	0
273	3
274	3
275	0
276	0
277	1
278	0
279	2
280	1
281	0
282	2
283	1
284	2
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	1
294	0
295	0
296	1
297	2
298	1
299	3
300	2
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	1
309	0
310	0
311	1
312	0
313	0
314	0
315	1
316	1
317	0
318	1
319	0
320	0
321	1
322	0
323	0
324	1
325	0
326	0
327	0
328	3
329	1
330	1
331	0
332	0
333	0
334	1
335	0
336	0
337	0
338	1
339	2
340	0
341	2
342	1
343	0
344	0
345	0
346	1
347	0
348	0
349	1
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	0
358	1
359	1
360	1
361	0
362	0
363	0
364	1
365	1
366	0
367	2
368	1
369	0
370	1
371	0
372	1
373	1
374	0
375	3
376	1
377	0
378	1
379	0
380	2
381	1
382	0
383	1
384	0
385	1
386	0
387	2
388	0
389	1
390	0
391	2
392	0
393	0
394	0
395	1
396	0
397	0
398	0
399	0
400	1
401	0
402	1
403	0
404	1
405	1
406	0
407	2
408	1
409	0
410	0
411	0
412	1
413	0
414	1
415	0
416	1
417	0
418	0
419	0
420	0
421	0
422	1
423	0
424	0
425	1
426	0
427	0
428	1
429	1
430	2
431	0
432	0
433	1
434	0
435	1
436	0
437	2
438	0
439	0
440	1
441	0
442	2
443	1
444	0
445	0
446	0
447	1
448	1
449	0
450	1
451	0
452	1
453	1
454	1
455	1
456	0
457	0
458	2
459	0
460	1
461	0
462	0
463	0
464	0
465	1
466	2
467	0
468	2
469	1
470	0
471	0
472	0
473	1
474	1
475	1
476	0
477	1
478	2
479	1
480	0
481	0
482	1
483	0
484	0
485	0
486	1
487	0
488	0
489	0
490	1
491	1
492	0
493	0
494	0
495	0
496	1
497	0
498	0
499	1
500	0
501	0
502	1
503	0
504	0
505	0
506	0
507	0
508	0
509	3
510	0
511	0
512	0
