Filename:  C:\Users\giovanni.gravili\Desktop\XDET\live_dataFe.mca
Description:  
TimeStamp:  12/01/2023 15:55:02

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	2
31	3
32	1
33	1
34	0
35	0
36	0
37	0
38	3
39	1
40	1
41	2
42	1
43	2
44	1
45	1
46	0
47	2
48	2
49	3
50	1
51	2
52	4
53	1
54	4
55	1
56	4
57	4
58	1
59	1
60	1
61	8
62	3
63	5
64	5
65	3
66	5
67	1
68	0
69	2
70	4
71	6
72	6
73	2
74	1
75	3
76	5
77	3
78	3
79	2
80	1
81	3
82	1
83	2
84	3
85	3
86	3
87	2
88	1
89	3
90	3
91	5
92	4
93	3
94	3
95	5
96	4
97	0
98	2
99	3
100	0
101	3
102	1
103	1
104	3
105	2
106	1
107	3
108	1
109	2
110	2
111	2
112	2
113	0
114	0
115	1
116	1
117	3
118	2
119	2
120	3
121	0
122	1
123	1
124	0
125	0
126	0
127	2
128	1
129	1
130	2
131	2
132	0
133	0
134	1
135	0
136	1
137	0
138	2
139	0
140	3
141	0
142	2
143	2
144	2
145	1
146	4
147	1
148	5
149	1
150	11
151	27
152	19
153	22
154	19
155	15
156	14
157	7
158	7
159	1
160	0
161	1
162	3
163	0
164	3
165	0
166	2
167	4
168	5
169	2
170	6
171	3
172	1
173	1
174	1
175	4
176	3
177	5
178	3
179	7
180	4
181	4
182	1
183	0
184	0
185	0
186	0
187	1
188	0
189	2
190	0
191	0
192	2
193	4
194	0
195	1
196	0
197	2
198	1
199	2
200	0
201	0
202	2
203	1
204	0
205	0
206	1
207	0
208	0
209	3
210	1
211	0
212	3
213	2
214	1
215	1
216	0
217	0
218	1
219	2
220	0
221	0
222	0
223	2
224	0
225	0
226	1
227	0
228	1
229	1
230	1
231	0
232	0
233	1
234	1
235	2
236	0
237	1
238	1
239	1
240	0
241	1
242	0
243	0
244	1
245	0
246	0
247	1
248	1
249	1
250	0
251	1
252	0
253	0
254	2
255	1
256	0
257	1
258	0
259	0
260	2
261	0
262	0
263	0
264	1
265	1
266	0
267	2
268	2
269	1
270	2
271	1
272	2
273	0
274	0
275	1
276	1
277	4
278	1
279	0
280	0
281	1
282	0
283	0
284	0
285	1
286	0
287	0
288	2
289	0
290	0
291	1
292	0
293	0
294	2
295	1
296	0
297	0
298	0
299	4
300	0
301	0
302	0
303	0
304	4
305	1
306	0
307	1
308	0
309	1
310	0
311	0
312	0
313	2
314	0
315	1
316	2
317	2
318	2
319	1
320	3
321	0
322	1
323	1
324	3
325	0
326	0
327	0
328	1
329	0
330	1
331	0
332	0
333	1
334	1
335	2
336	1
337	1
338	2
339	3
340	1
341	0
342	0
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	2
354	0
355	0
356	0
357	3
358	1
359	0
360	0
361	1
362	0
363	0
364	1
365	0
366	0
367	0
368	0
369	2
370	0
371	1
372	0
373	0
374	2
375	0
376	0
377	0
378	0
379	1
380	2
381	0
382	0
383	0
384	0
385	0
386	1
387	2
388	0
389	0
390	0
391	0
392	0
393	3
394	3
395	0
396	1
397	0
398	0
399	0
400	1
401	1
402	1
403	0
404	1
405	0
406	2
407	0
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	2
419	1
420	2
421	0
422	0
423	1
424	0
425	0
426	1
427	0
428	1
429	1
430	0
431	0
432	1
433	0
434	1
435	0
436	0
437	0
438	0
439	0
440	1
441	0
442	0
443	0
444	0
445	3
446	1
447	0
448	0
449	0
450	0
451	0
452	1
453	0
454	1
455	1
456	1
457	1
458	0
459	0
460	2
461	0
462	0
463	1
464	0
465	0
466	0
467	2
468	0
469	0
470	1
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	1
480	1
481	0
482	1
483	0
484	1
485	0
486	1
487	1
488	1
489	0
490	0
491	0
492	1
493	0
494	0
495	0
496	0
497	1
498	2
499	0
500	0
501	1
502	1
503	0
504	1
505	0
506	1
507	1
508	0
509	0
510	1
511	2
512	0
513	1
