Filename:  C:\Users\giovanni.gravili\Desktop\XDET\live_dataGe.mca
Description:  
TimeStamp:  12/01/2023 16:53:51

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	2
32	0
33	1
34	3
35	1
36	0
37	1
38	1
39	1
40	0
41	0
42	0
43	1
44	1
45	2
46	2
47	3
48	2
49	0
50	2
51	3
52	2
53	2
54	1
55	4
56	1
57	4
58	4
59	4
60	5
61	7
62	3
63	5
64	3
65	6
66	4
67	5
68	3
69	2
70	4
71	1
72	2
73	7
74	1
75	2
76	2
77	4
78	5
79	7
80	2
81	3
82	1
83	2
84	2
85	6
86	2
87	2
88	3
89	5
90	1
91	2
92	3
93	0
94	3
95	0
96	4
97	3
98	3
99	4
100	1
101	0
102	1
103	2
104	3
105	0
106	2
107	1
108	2
109	0
110	1
111	2
112	1
113	2
114	0
115	0
116	1
117	0
118	0
119	3
120	2
121	2
122	0
123	0
124	2
125	0
126	1
127	1
128	0
129	2
130	0
131	2
132	0
133	1
134	0
135	1
136	0
137	2
138	4
139	0
140	2
141	4
142	2
143	1
144	1
145	1
146	0
147	1
148	0
149	1
150	2
151	2
152	3
153	0
154	0
155	1
156	1
157	2
158	1
159	1
160	1
161	1
162	0
163	2
164	0
165	0
166	1
167	1
168	0
169	1
170	1
171	0
172	2
173	2
174	1
175	2
176	2
177	3
178	9
179	4
180	4
181	2
182	2
183	1
184	0
185	1
186	1
187	1
188	0
189	0
190	0
191	0
192	1
193	0
194	2
195	2
196	1
197	1
198	1
199	2
200	3
201	1
202	2
203	0
204	0
205	1
206	0
207	0
208	0
209	0
210	2
211	2
212	0
213	0
214	3
215	1
216	1
217	0
218	0
219	0
220	2
221	1
222	2
223	0
224	2
225	2
226	0
227	1
228	0
229	5
230	3
231	8
232	9
233	19
234	16
235	21
236	16
237	21
238	13
239	8
240	4
241	3
242	0
243	0
244	2
245	2
246	1
247	0
248	0
249	0
250	2
251	0
252	0
253	0
254	1
255	1
256	1
257	1
258	1
259	6
260	3
261	4
262	3
263	2
264	5
265	3
266	0
267	0
268	1
269	1
270	0
271	2
272	1
273	0
274	3
275	1
276	2
277	0
278	1
279	0
280	0
281	0
282	0
283	1
284	0
285	0
286	0
287	0
288	2
289	1
290	1
291	0
292	0
293	3
294	0
295	2
296	1
297	2
298	1
299	0
300	0
301	0
302	1
303	0
304	1
305	1
306	0
307	0
308	0
309	1
310	2
311	0
312	1
313	1
314	0
315	0
316	0
317	0
318	0
319	1
320	1
321	1
322	0
323	0
324	2
325	1
326	0
327	2
328	1
329	0
330	1
331	1
332	0
333	0
334	0
335	0
336	1
337	0
338	2
339	0
340	1
341	0
342	2
343	0
344	2
345	1
346	0
347	2
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	1
361	1
362	1
363	1
364	0
365	0
366	2
367	1
368	0
369	1
370	0
371	0
372	2
373	3
374	1
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	3
384	0
385	1
386	0
387	0
388	3
389	0
390	0
391	0
392	0
393	2
394	2
395	1
396	0
397	0
398	0
399	1
400	1
401	0
402	0
403	0
404	0
405	0
406	2
407	0
408	1
409	0
410	1
411	0
412	0
413	3
414	1
415	0
416	3
417	0
418	1
419	0
420	1
421	0
422	1
423	0
424	0
425	0
426	1
427	0
428	1
429	1
430	0
431	0
432	0
433	0
434	0
435	2
436	0
437	0
438	1
439	1
440	0
441	0
442	0
443	1
444	0
445	2
446	3
447	1
448	0
449	2
450	0
451	1
452	1
453	0
454	1
455	0
456	0
457	0
458	0
459	2
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	1
470	0
471	0
472	1
473	0
474	0
475	1
476	0
477	1
478	0
479	1
480	1
481	1
482	1
483	0
484	1
485	0
486	0
487	0
488	0
489	0
490	1
491	3
492	1
493	1
494	0
495	1
496	1
497	1
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	2
507	1
508	0
509	0
510	0
511	0
512	0
513	0
