Filename:  C:\Users\giovanni.gravili\Desktop\XDET\live_dataMn.mca
Description:  
TimeStamp:  12/01/2023 16:37:10

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	3
31	2
32	1
33	1
34	0
35	0
36	3
37	1
38	1
39	0
40	0
41	4
42	0
43	1
44	2
45	1
46	1
47	1
48	2
49	3
50	2
51	0
52	2
53	3
54	5
55	4
56	4
57	2
58	5
59	2
60	3
61	3
62	3
63	7
64	7
65	5
66	4
67	7
68	5
69	5
70	6
71	2
72	6
73	5
74	4
75	3
76	4
77	6
78	3
79	4
80	4
81	6
82	5
83	3
84	2
85	3
86	2
87	4
88	2
89	7
90	0
91	1
92	1
93	3
94	4
95	0
96	2
97	2
98	3
99	0
100	2
101	4
102	3
103	2
104	0
105	1
106	1
107	0
108	1
109	3
110	3
111	1
112	1
113	0
114	1
115	2
116	1
117	2
118	1
119	0
120	1
121	1
122	0
123	0
124	0
125	0
126	2
127	0
128	2
129	0
130	2
131	0
132	0
133	2
134	0
135	0
136	0
137	2
138	1
139	1
140	3
141	3
142	4
143	1
144	0
145	1
146	1
147	2
148	3
149	1
150	0
151	1
152	2
153	0
154	1
155	1
156	3
157	0
158	3
159	0
160	0
161	1
162	2
163	1
164	2
165	0
166	1
167	3
168	1
169	1
170	3
171	0
172	1
173	3
174	4
175	3
176	4
177	8
178	8
179	9
180	5
181	1
182	2
183	0
184	2
185	2
186	3
187	0
188	1
189	0
190	2
191	1
192	0
193	0
194	2
195	1
196	4
197	1
198	1
199	2
200	0
201	3
202	1
203	1
204	1
205	0
206	0
207	0
208	0
209	0
210	1
211	3
212	0
213	2
214	0
215	0
216	1
217	1
218	0
219	1
220	1
221	0
222	0
223	2
224	1
225	1
226	0
227	1
228	0
229	1
230	1
231	2
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	1
240	2
241	0
242	1
243	0
244	1
245	0
246	1
247	0
248	0
249	1
250	2
251	1
252	1
253	0
254	0
255	1
256	2
257	0
258	0
259	0
260	0
261	1
262	0
263	1
264	4
265	1
266	0
267	1
268	1
269	0
270	0
271	1
272	2
273	0
274	1
275	0
276	1
277	1
278	1
279	2
280	0
281	1
282	0
283	0
284	2
285	1
286	1
287	0
288	1
289	0
290	0
291	2
292	1
293	0
294	0
295	0
296	0
297	1
298	1
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	1
307	0
308	1
309	3
310	2
311	0
312	0
313	0
314	1
315	1
316	0
317	2
318	0
319	2
320	3
321	0
322	1
323	1
324	3
325	1
326	0
327	1
328	1
329	0
330	0
331	0
332	0
333	1
334	0
335	1
336	0
337	0
338	2
339	0
340	1
341	1
342	1
343	0
344	0
345	0
346	1
347	0
348	0
349	2
350	0
351	0
352	3
353	1
354	1
355	0
356	2
357	0
358	0
359	1
360	1
361	0
362	3
363	1
364	1
365	1
366	3
367	0
368	0
369	1
370	1
371	0
372	1
373	1
374	1
375	1
376	0
377	0
378	0
379	1
380	1
381	0
382	4
383	0
384	1
385	1
386	0
387	1
388	1
389	1
390	1
391	0
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	1
400	1
401	0
402	2
403	0
404	0
405	0
406	0
407	1
408	1
409	1
410	1
411	1
412	0
413	0
414	1
415	1
416	0
417	0
418	0
419	0
420	1
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	1
430	2
431	1
432	0
433	1
434	1
435	1
436	0
437	0
438	1
439	1
440	0
441	1
442	0
443	1
444	0
445	2
446	0
447	0
448	0
449	0
450	0
451	2
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	1
461	0
462	2
463	0
464	1
465	0
466	0
467	0
468	0
469	0
470	0
471	2
472	1
473	0
474	0
475	0
476	0
477	1
478	1
479	0
480	1
481	0
482	0
483	0
484	1
485	0
486	0
487	1
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	1
496	1
497	0
498	1
499	1
500	1
501	1
502	0
503	0
504	0
505	0
506	0
507	1
508	1
509	1
510	0
511	0
512	0
513	0
