Filename:  C:\Users\giovanni.gravili\Desktop\XDET\live_dataNi.mca
Description:  
TimeStamp:  12/01/2023 16:06:38

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	2
32	1
33	1
34	0
35	1
36	2
37	0
38	0
39	1
40	1
41	2
42	0
43	1
44	2
45	1
46	2
47	1
48	1
49	2
50	0
51	5
52	2
53	5
54	7
55	3
56	2
57	6
58	3
59	6
60	3
61	2
62	7
63	7
64	5
65	7
66	5
67	5
68	2
69	5
70	5
71	7
72	6
73	4
74	1
75	3
76	2
77	2
78	2
79	1
80	5
81	3
82	2
83	4
84	3
85	1
86	3
87	5
88	8
89	2
90	2
91	3
92	2
93	4
94	3
95	3
96	3
97	2
98	0
99	0
100	1
101	0
102	2
103	2
104	1
105	1
106	5
107	2
108	2
109	1
110	3
111	2
112	0
113	0
114	2
115	3
116	0
117	1
118	3
119	0
120	1
121	2
122	1
123	1
124	1
125	3
126	1
127	3
128	1
129	0
130	1
131	1
132	1
133	1
134	2
135	1
136	0
137	0
138	2
139	1
140	0
141	1
142	1
143	3
144	1
145	1
146	0
147	2
148	0
149	0
150	0
151	1
152	0
153	1
154	1
155	0
156	0
157	2
158	0
159	0
160	2
161	1
162	0
163	1
164	0
165	3
166	2
167	2
168	3
169	0
170	2
171	0
172	1
173	1
174	6
175	4
176	8
177	10
178	22
179	11
180	26
181	12
182	11
183	1
184	2
185	1
186	3
187	1
188	1
189	1
190	0
191	1
192	0
193	1
194	2
195	6
196	5
197	7
198	1
199	3
200	2
201	2
202	3
203	2
204	3
205	1
206	0
207	0
208	0
209	0
210	0
211	0
212	1
213	1
214	0
215	0
216	0
217	1
218	1
219	0
220	0
221	1
222	1
223	0
224	0
225	0
226	0
227	3
228	3
229	1
230	0
231	0
232	1
233	0
234	1
235	3
236	1
237	0
238	1
239	1
240	1
241	3
242	0
243	1
244	2
245	1
246	0
247	1
248	0
249	0
250	1
251	0
252	1
253	1
254	1
255	1
256	0
257	0
258	0
259	0
260	0
261	0
262	1
263	1
264	0
265	2
266	2
267	1
268	0
269	0
270	1
271	1
272	0
273	2
274	0
275	0
276	0
277	1
278	0
279	0
280	2
281	3
282	1
283	1
284	0
285	0
286	0
287	0
288	1
289	1
290	0
291	0
292	1
293	2
294	0
295	1
296	0
297	0
298	2
299	1
300	1
301	0
302	0
303	1
304	0
305	1
306	1
307	0
308	0
309	2
310	1
311	0
312	2
313	1
314	0
315	1
316	0
317	2
318	1
319	0
320	1
321	2
322	1
323	1
324	0
325	0
326	1
327	2
328	0
329	0
330	0
331	1
332	1
333	0
334	2
335	0
336	0
337	0
338	0
339	1
340	0
341	0
342	0
343	1
344	2
345	1
346	0
347	1
348	1
349	2
350	0
351	2
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	3
360	1
361	1
362	1
363	1
364	0
365	1
366	0
367	1
368	0
369	0
370	0
371	1
372	1
373	1
374	4
375	0
376	1
377	4
378	1
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	1
391	1
392	0
393	1
394	0
395	1
396	0
397	1
398	2
399	0
400	2
401	0
402	0
403	1
404	1
405	0
406	1
407	0
408	0
409	0
410	0
411	1
412	0
413	1
414	0
415	1
416	1
417	0
418	0
419	0
420	1
421	0
422	1
423	0
424	1
425	0
426	3
427	0
428	0
429	0
430	0
431	2
432	1
433	0
434	1
435	1
436	1
437	1
438	0
439	1
440	0
441	0
442	0
443	0
444	0
445	1
446	0
447	0
448	0
449	0
450	0
451	1
452	0
453	1
454	0
455	1
456	0
457	0
458	1
459	1
460	1
461	0
462	0
463	2
464	0
465	1
466	0
467	0
468	1
469	1
470	0
471	1
472	0
473	2
474	1
475	0
476	0
477	0
478	1
479	1
480	0
481	0
482	0
483	0
484	0
485	1
486	0
487	0
488	1
489	1
490	1
491	0
492	0
493	0
494	0
495	0
496	0
497	2
498	2
499	0
500	0
501	2
502	1
503	0
504	1
505	1
506	1
507	0
508	1
509	1
510	1
511	0
512	1
513	0
